 1,  6.995E-02, -4.240E-01,  2.177E+00
 2,  1.807E-02, -5.708E-02, -1.929E-01
 3, -2.984E-01,  2.981E-01, -2.892E+00
 4, -2.993E-01,  7.749E-02, -2.893E+00
 5, -1.560E-01, -8.863E-02,  2.923E+00
 6, -2.343E-01, -2.371E-01,  2.024E+00
 7,  2.453E-01, -2.600E-01, -2.044E+00
 8, -1.737E-01,  3.603E-01, -1.426E+00
 9, -4.186E-01,  1.518E-01, -5.872E-01
10, -1.867E-01,  2.421E-01,  2.191E+00
11,  1.806E-01, -2.081E-01, -3.128E-01
12,  1.848E-01, -2.528E-01,  5.511E-01
13,  1.677E-01, -1.640E-01,  9.519E-01
14, -2.813E-01,  7.349E-02, -1.561E+00
15, -4.503E-01, -1.975E-01,  2.974E+00
16,  3.526E-01,  3.543E-01,  2.422E+00
17, -4.769E-02,  9.840E-02,  4.987E-01
18, -2.360E-01, -3.253E-01, -8.780E-01
19, -6.766E-02,  3.343E-01,  2.034E-02
20, -4.020E-02,  4.568E-01, -1.916E+00
21, -1.748E-01, -4.166E-01,  6.512E-02
22,  3.126E-01, -6.291E-02, -2.901E-01
23, -2.317E-01,  3.649E-01, -6.074E-01
24, -2.751E-01, -2.851E-01, -2.097E+00
25, -4.249E-01,  6.154E-03,  2.734E+00
26,  2.108E-01, -1.736E-01, -1.372E+00
27, -2.424E-01, -3.593E-01,  9.545E-01
28,  1.229E-01,  1.408E-01, -2.678E+00
29, -5.191E-02,  2.629E-01, -3.304E-01
30, -2.964E-02, -4.634E-02, -1.357E+00
31, -4.009E-01, -3.309E-02, -8.629E-01
32,  1.581E-01,  2.633E-01, -1.876E+00
33,  3.131E-01,  3.936E-02, -1.801E+00
34, -3.022E-01, -3.620E-01, -9.384E-01
35,  4.470E-01, -4.160E-02,  9.722E-01
36, -1.522E-01,  3.504E-02, -4.304E-01
37, -1.038E-02,  2.420E-02,  2.598E+00
38,  1.747E-01,  3.359E-01, -1.769E+00
40,  1.676E-01,  1.559E-01,  1.620E+00
39,  2.607E-01, -1.071E-01, -2.776E+00
41,  1.242E-02,  2.565E-01, -1.023E+00
42, -1.531E-01,  7.593E-02, -2.291E+00
43, -3.821E-01,  2.376E-01,  1.944E+00
44,  2.771E-01, -3.472E-01, -4.102E-01
45,  3.487E-02,  3.128E-01, -5.458E-01
46,  9.099E-02,  1.734E-01, -8.464E-01
47, -1.983E-01, -4.265E-01,  1.534E+00
48, -2.459E-01, -4.124E-01,  2.591E-02
49,  1.057E-01,  4.119E-01, -2.269E+00
50,  6.904E-02, -1.944E-01,  3.345E-01
